fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
2010-11-18,10:03:17.00,-4.8948,-81.3067,56,4.7
2010-12-04,10:22:42.00,-4.7705,-80.6389,33,4.5
2010-12-23,21:55:15.00,-5.2395,-81.4322,0,4.5
2011-01-31,19:25:20.00,-5.5906,-81.1024,17,4.6
2011-02-14,08:28:44.00,-4.8466,-81.3479,30,4.5
2011-03-03,04:11:20.00,-5.7041,-80.9912,46,4.5
2011-03-03,08:34:05.00,-4.9928,-80.821,18,4.8
2011-03-29,09:06:55.00,-5.3815,-80.83,34,4.5
2011-04-15,21:52:29.00,-4.3956,-80.5821,45,4.5
2011-04-19,05:11:39.00,-4.7297,-81.093,53,4.5
2011-05-17,10:07:34.00,-4.3839,-81.4976,17,4.7
2011-05-25,00:50:47.00,-4.5597,-81.0442,16,4.5
2011-06-20,15:47:25.00,-5.1324,-80.3551,40,4.7
2011-06-27,10:49:00.00,-5.3712,-80.9177,29,4.5
2011-06-30,08:10:24.00,-4.903,-80.0244,64,4.6
2011-07-08,08:07:26.00,-4.5375,-80.2641,39,4.8
2011-08-07,00:55:24.00,-4.4141,-80.5388,19,4.5
2011-08-19,18:38:29.00,-4.5423,-81.0727,41,4.5
2011-08-25,05:11:34.00,-4.6379,-80.7969,1,4.5
2011-09-08,02:48:35.00,-4.4661,-80.5534,109,4.5
2011-09-25,00:35:08.00,-5.769,-81.536,33,5.3
2011-10-02,06:41:20.00,-5.4379,-80.9905,27,4.5
2011-10-02,16:49:46.00,-5.7341,-80.1977,52,4.5
2011-10-16,01:11:02.00,-5.7427,-80.9205,19,4.5
2011-10-18,06:18:18.00,-4.9529,-80.3714,32,4.5
2011-10-19,23:49:51.00,-5.8683,-81.204,9,4.6
2011-10-20,00:11:17.00,-5.8298,-81.212,1,4.5
2011-10-20,04:09:02.00,-5.0539,-79.841,94,4.5
2011-10-28,01:04:16.00,-4.8203,-80.1867,38,4.5
2011-11-01,04:31:13.00,-5.537,-80.0937,54,4.7
2011-11-05,23:59:34.00,-4.6319,-80.2069,91,4.5
2011-11-09,19:59:26.00,-5.5931,-80.3433,51,4.6
2011-11-14,06:24:28.00,-5.8191,-81.5488,6,4.9
2011-11-22,05:24:14.00,-4.6782,-80.6968,31,4.9
2011-11-27,01:49:33.00,-5.0491,-80.1436,117,4.5
2011-11-27,05:14:28.00,-4.5654,-80.635,37,4.5
2011-12-03,16:08:24.00,-4.9969,-80.7942,37,4.7
2011-12-03,22:04:07.00,-4.6159,-80.6523,44,4.5
2011-12-09,05:02:01.00,-4.5829,-80.2477,167,4.5
2011-12-10,13:13:04.00,-5.1926,-81.063,28,4.5
2011-12-11,06:42:05.00,-4.8736,-80.6266,36,4.5
2011-12-28,07:43:12.00,-4.568,-80.506,12,4.6
2012-03-19,19:59:09.00,-5.3644,-80.2775,60,5.2
2012-03-21,05:23:28.00,-4.9057,-80.3169,45,4.5
2012-03-29,22:27:33.00,-5.5115,-81.0366,2,4.7
2012-04-03,03:08:02.00,-5.1723,-80.8784,50,5.7
2012-04-20,01:31:59.00,-4.6161,-81.2057,47,4.5
2012-05-21,11:29:55.00,-5.871,-81.0821,14,4.5
2012-06-21,11:38:29.00,-4.4837,-80.695,66,4.6
2012-07-16,19:24:16.00,-4.4957,-80.9828,46,4.5
2012-08-08,12:54:19.00,-4.601,-80.8655,30,4.5
2012-09-09,10:46:28.00,-5.4839,-80.6211,40,4.7
2012-09-15,03:57:35.00,-4.3958,-80.659,68,4.7
2012-09-29,11:31:22.00,-4.3312,-80.6148,38,4.5
2012-11-10,08:32:49.00,-4.8454,-81.0037,1,4.5
2012-11-26,18:48:02.00,-5.5291,-80.8534,11,4.5
2012-12-04,22:56:45.00,-5.0024,-81.6471,44,4.5
2012-12-14,05:57:15.00,-5.7658,-81.3963,19,4.5
2012-12-21,02:28:33.00,-5.836,-81.7046,8,4.6
